brand,models
"APPLE
74 devices",iPhone 6 Plus
"APPLE
74 devices",iPhone 6
"APPLE
74 devices",iPad Air
"APPLE
74 devices",iPad mini 2
"APPLE
74 devices",iPhone 5s
"APPLE
74 devices",iPhone 5c
"APPLE
74 devices",iPad mini Wi-Fi
"APPLE
74 devices",iPad mini Wi-Fi + Cellular
"APPLE
74 devices",iPad 4 Wi-Fi
"APPLE
74 devices",iPad 4 Wi-Fi + Cellular
"APPLE
74 devices",iPhone 5
"APPLE
74 devices",iPad 3 Wi-Fi + Cellular
"APPLE
74 devices",iPad 3 Wi-Fi
"APPLE
74 devices",iPhone 4s
"APPLE
74 devices",iPad 2 Wi-Fi + 3G
"APPLE
74 devices",iPad 2 Wi-Fi
"APPLE
74 devices",iPad 2 CDMA
"APPLE
74 devices",iPhone 4
"APPLE
74 devices",iPhone 4 CDMA
"APPLE
74 devices",iPad Wi-Fi + 3G
"APPLE
74 devices",iPad Wi-Fi
"APPLE
74 devices",iPhone 3GS
"APPLE
74 devices",iPhone 3G
"APPLE
74 devices",iPhone
"ARCHOS
43 devices",50 Titanium
"ARCHOS
43 devices",45 Titanium
"ARCHOS
43 devices",40 Titanium
"ASUS
178 devices",Zenfone 3 Deluxe 5.5 ZS550KL
"ASUS
178 devices",Zenpad Z10 ZT500KL
"ASUS
178 devices",Zenwatch 3 WI503Q
"ASUS
178 devices",Zenpad 3S 10 Z500M
"ASUS
178 devices",Zenfone 3 Max ZC520TL
"ASUS
178 devices",Zenfone 3 Laser ZC551KL
"ASUS
178 devices",Zenfone 3 ZE520KL
"ASUS
178 devices",Zenfone Pegasus 3
"ASUS
178 devices",Zenpad Z8
"ASUS
178 devices",Zenfone 3 Ultra ZU680KL
"ASUS
178 devices",Zenfone 3 Deluxe ZS570KL
"ASUS
178 devices",Zenfone 3 ZE552KL
"ASUS
178 devices",Zenfone Max ZC550KL (2016)
"ASUS
178 devices",Zenfone Go ZB450KL
"ASUS
178 devices",Zenfone Go ZB452KG
"ASUS
178 devices",Zenfone Go ZB551KL
"ASUS
178 devices",Zenfone Go T500
"ASUS
178 devices",Zenfone Go ZC451TG
"ASUS
178 devices",Live G500TG
"ASUS
178 devices",Zenwatch 2 WI501Q
"ASUS
178 devices",Zenwatch 2 WI502Q
"ASUS
178 devices",Zenwatch WI500Q
"ASUS
178 devices",Zenfone 2 Laser ZE551KL
"ASUS
178 devices",Zenfone Zoom ZX551ML
"ASUS
178 devices",Zenpad 8.0 Z380M
"ASUS
178 devices",Zenpad 10 Z300M
"ASUS
178 devices",Zenpad 10 Z300C
"ASUS
178 devices",Zenfone Go ZC500TG
"ASUS
178 devices",Zenfone Max ZC550KL
"ASUS
178 devices",Zenfone 2 Deluxe ZE551ML
"ASUS
178 devices",Zenfone 2 Laser ZE601KL
"ASUS
178 devices",Zenfone 2 Laser ZE600KL
"ASUS
178 devices",Zenfone 2 Laser ZE550KL
"ASUS
178 devices",Zenfone 2 Laser ZE500KG
"ASUS
178 devices",Zenfone 2 Laser ZE500KL
"ASUS
178 devices",Zenpad 7.0 Z370CG
"ASUS
178 devices",Zenfone 2E
"ASUS
178 devices",Pegasus 2 Plus
"ASUS
178 devices",Zenpad S 8.0 Z580CA
"ASUS
178 devices",Zenpad S 8.0 Z580C
"ASUS
178 devices",Zenpad 8.0 Z380KL
"ASUS
178 devices",Zenpad 8.0 Z380C
"ASUS
178 devices",Zenpad C 7.0 Z170MG
"ASUS
178 devices",Zenpad C 7.0
"ASUS
178 devices",Zenfone Selfie ZD551KL
"ASUS
178 devices",Zenfone 2 ZE500CL
"ASUS
178 devices",Zenfone 2 ZE550ML
"ASUS
178 devices",Zenfone 2 ZE551ML
"ASUS
178 devices",Fonepad 7 FE375CL
"ASUS
178 devices",Zenfone C ZC451CG
"ASUS
178 devices",Fonepad 7 FE171CG
"ASUS
178 devices",Zenfone Zoom ZX550
"ASUS
178 devices",Pegasus
"ASUS
178 devices",Zenfone 5 Lite A502CG (2014)
"ASUS
178 devices",Memo Pad 10 ME103K
"ASUS
178 devices",PadFone X mini
